algorithm,nodes_count,active_nodes,failed_nodes,packet_loss_probability,node_failure_probability,duration_ms,coverage_active_pct,coverage_total_pct,messages_sent,packets_lost,failed_deliveries,duplicates,rounds,p95_delivery_ms,scenario,repeat
Broadcast Flooding,200,200,0,0.0,0.0,2.497811,100.0,100.0,39601,0,0,39402,200,2.310495773077514,S0: идеальная сеть,3
Broadcast Flooding,200,200,0,0.0,0.0,2.410038,100.0,100.0,39601,0,0,39402,200,2.1932419372992973,S0: идеальная сеть,4
Broadcast Flooding,200,200,0,0.0,0.0,2.465314,100.0,100.0,39601,0,0,39402,200,2.2552522990865747,S0: идеальная сеть,5
Broadcast Flooding,200,200,0,0.0,0.0,2.482282,100.0,100.0,39601,0,0,39402,200,2.270261267256942,S0: идеальная сеть,6
Broadcast Flooding,200,200,0,0.0,0.0,2.3961,100.0,100.0,39601,0,0,39402,200,2.1931886441561073,S0: идеальная сеть,7
Broadcast Flooding,200,200,0,0.0,0.0,2.532766,100.0,100.0,39601,0,0,39402,200,2.283106905357953,S0: идеальная сеть,8
Broadcast Flooding,200,200,0,0.0,0.0,2.396121,100.0,100.0,39601,0,0,39402,200,2.2117406978246725,S0: идеальная сеть,9
Broadcast Flooding,200,200,0,0.0,0.0,2.425999,100.0,100.0,39601,0,0,39402,200,2.306993565629466,S0: идеальная сеть,10
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1215,0,0,1016,6,26.909834643091482,S0: идеальная сеть,1
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1191,0,0,992,6,30.68280876431238,S0: идеальная сеть,2
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1206,0,0,1007,6,30.683004687890314,S0: идеальная сеть,3
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1257,0,0,1058,6,26.749776012618618,S0: идеальная сеть,4
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1203,0,0,1004,6,26.947836366868696,S0: идеальная сеть,5
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1221,0,0,1022,6,26.84982110974296,S0: идеальная сеть,6
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1218,0,0,1019,6,26.919405265693186,S0: идеальная сеть,7
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1197,0,0,998,6,26.94493997135102,S0: идеальная сеть,8
Gossip Push,200,200,0,0.0,0.0,35.0,100.0,100.0,1833,0,0,1634,7,26.9976782937778,S0: идеальная сеть,9
Gossip Push,200,200,0,0.0,0.0,30.0,100.0,100.0,1197,0,0,998,6,26.95241095613494,S0: идеальная сеть,10
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,16.004836223976685,S0: идеальная сеть,1
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,11.958956992439234,S0: идеальная сеть,2
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,11.98633959319195,S0: идеальная сеть,3
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,16.4778640058041,S0: идеальная сеть,4
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,10.0,100.0,100.0,1799,0,0,0,2,11.846113602384452,S0: идеальная сеть,5
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,15.999750068484419,S0: идеальная сеть,6
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,16.40304155145394,S0: идеальная сеть,7
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,11.98628572765161,S0: идеальная сеть,8
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,16.172337564887556,S0: идеальная сеть,9
Adaptive Gossip Push-Pull,200,200,0,0.0,0.0,15.0,100.0,100.0,2599,0,0,0,3,11.904731075732393,S0: идеальная сеть,10
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,8.932582,100.0,100.0,599,0,0,400,3,3.6330270981265036,S0: идеальная сеть,1
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,9.098541,100.0,100.0,599,0,0,400,3,3.6133168128255906,S0: идеальная сеть,2
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,8.998079,100.0,100.0,599,0,0,400,3,3.7056396453603866,S0: идеальная сеть,3
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,8.923272,100.0,100.0,599,0,0,400,3,3.6993111552452174,S0: идеальная сеть,4
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,8.914766,100.0,100.0,599,0,0,400,3,3.6002444627147505,S0: идеальная сеть,5
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,8.996027,100.0,100.0,599,0,0,400,3,3.671692939675647,S0: идеальная сеть,6
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,9.047751,100.0,100.0,599,0,0,400,3,3.7375488137178405,S0: идеальная сеть,7
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,9.018418,100.0,100.0,599,0,0,400,3,3.6597680336412637,S0: идеальная сеть,8
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,9.069706,100.0,100.0,599,0,0,400,3,3.614608572261875,S0: идеальная сеть,9
